text,intent,sub_intent
tui bị ho thì có sao k,request,diagnostic
rồi ạ,inform,information
test nhanh,inform,information
dạ âm tính á,inform,information
dạ có ạ,inform,information
liên hệ như nào á,request,contact
dạ quận 9,inform,information
dạ cảm ơn ạ,ok,information
oki,ok,information
đeo khẩu trang làm gì á,request,prevention
số ca nhiễm gia lai,request,current_number
mình ở vùng dịch về có cần cách ly ko ạ,request,rule
mình tiêm 2 mũi rồi thì có nguy cơ nhiễm k,request,vaccine
mình bị ho có nguy cơ nhiễm không,request,diagnostic
mình tiêm 2 mũi rồi thì có nguy cơ nhiễm k,request,vaccine
mình tiêm 2 mũi rồi thì có nguy cơ nhiễm k,request,vaccine
chỉ thị 16 là gì,request,information
mình tiêm 2 mũi rồi thì có nguy cơ nhiễm k,request,vaccine
mình đăng ký tiêm vacxin rồi mà giờ bị nhiễm covid thì có tiêm được không,request,vaccine
chỉ thị 16 là gì,request,information
em test nhanh bị dương tính thì có nguy cơ nhiễm covid k,request,information
test nhanh dương tính thì có bị covid không,request,test
em bị ho có nguy cơ nhiêm xk,request,diagnostic
rồi ạ,inform,information
dạ abcd,ok,information
test nhanh,inform,information
em bị ho có sao ko,request,diagnostic
dạ rồi ,inform,information
em bị ho có sao  k ạ,request,diagnostic
dạ rồi,inform,information
pcc á,other,information
test nhanh,inform,information
em bị ho có sao k ạ,request,diagnostic
rồi,inform,information
pcc,other,information
test nhanh,inform,information
em bị ho có sao k ạ,request,diagnostic
rồi á,inform,information
pcc,other,information
test nhanh,inform,information
âm tính ,inform,information
ko,inform,healthcare
k,other,information
em bị ho có sao ko,request,diagnostic
test nhanh dương tính,inform,test
test nhanh dương tính,inform,test
dương,inform,information
em bij ho cos saok,inform,diagnostic
em bị ho có sao k,request,diagnostic
rồi á,inform,information
test nhanh,inform,information
dương tính,inform,test
liên hệ như thế nào,request,contact
quận 3,inform,information
dạ,ok,information
em bị ho có sao ko,request,diagnostic
chưa á,ok,information
rồi á,inform,information
em bị ho có sao ko ạ,request,diagnostic
chưa,ok,information
không,inform,healthcare
không,inform,healthcare
mình bị ho có sao ko ạ,request,diagnostic
pcc,other,information
pcc,other,information
em bị ho có sao ko ạ,request,diagnostic
rồi,inform,information
pcc,other,information
test nhanh,inform,information
ko biết,request,information
dương tính,inform,test
mình bị ho có sao k ạ,request,diagnostic
mình bị ho có sao k,request,diagnostic
mình bị ho có sao k,request,diagnostic
mình bị ho có sao k,request,diagnostic
mình bị ho có sao k ạ,request,diagnostic
là soa,request,information
chưa á,ok,information
có,inform,information
ác,other,information
mình bị ho có sao k,request,diagnostic
rồi,inform,information
mình bị ho có sao ko,request,diagnostic
rồi,inform,information
test nhanh,inform,information
đeo khẩu trang làm gì an,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình bị ho có sao ko,request,diagnostic
mình bị ho có sao ko,request,diagnostic
chưa,ok,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
alo,hello,information
alo,hello,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình bị ho có sao ko,request,diagnostic
chưa,ok,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
đeo khẩu trang làm gì á,request,prevention
mình bị ho vs khó thở có sao k,request,diagnostic
mình bị ho có sao k,request,diagnostic
chưa,ok,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình bị ho có sao k,request,diagnostic
chưa,ok,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình ở gia lai đeo khẩu trang làm gì,request,prevention
là sao,request,information
mình ở gia lai đeo khẩu trang làm gì,request,prevention
số ca nhiễm ở gia lai,request,current_number
mình ở gia lai đeo khẩu trang làm gì,request,prevention
minhf bij ho cos sao ko,request,diagnostic
mình ở gia lai đeo khẩu trang làm gì,request,prevention
mình bị ho có sao ko,request,diagnostic
là sao á,request,information
là soa,request,information
rồi á,inform,information
hmm quên rùi,inform,information
quên rồi,inform,information
RT-PCR,inform,test
ko biết,request,information
là sao,request,information
dương tính,inform,test
quận 5 nha,inform,information
đeo khẩu trang làm gì á,request,prevention
có bao nhiêu người trên máy thở?,request,current_number
tỷ lệ tử vong của covid là nhiuee,request,information
triệu chứng của covid là gì,request,symptom
trịu chứng của covid là gì,request,symptom
sốt có phải triệu chứng của covid ko,request,symptom
khai báo y tế ở đâu v bác sĩ,request,contact
khai báo y tế như thế nào,request,prevention
khai báo y tế như thế nào,request,prevention
tôi cần khai báo như thế nào,request,prevention
khai báo y tế như thế nào,request,prevention
tôi cần khai báo như thế nào,request,prevention
mình mang thai có đc tiêm vacxin ko,request,vaccine
mình đang mang thai có nên tiêm vacxin ko,request,vaccine
địa chỉ e-mail là gì,request,contact
các bài tập thực hiện chăm sóc sức khỏe,request,healthcare
có những bài tập thể dục nào,request,symptom
cách giặt khẩu trang vải sao cho đúng,request,prevention
vungf dichj là gì á,request,rule
vùng dịch tễ là ở đâu,request,rule
đối tượng nào được ưu tiên tiêm vaccine covid 19,request,vaccine
đối tượng nào được ưu tiên tiêm vaccine covid 19,request,vaccine
đối tượng được ưu tiên tiêm vaccine covid 19,request,vaccine
đối tượng được ưu tiên tiêm vaccine covid 19,request,vaccine
các bệnh nền và yếu tố nguy cơ lây nhiễm covid 19 là gì,request,symptom
giãn cơ vai,inform,information
các bài tập giãn cơ vai,inform,symptom
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,symptom
các bài tập giãn cơ vai là gì,request,information
giãn cơ vai,inform,common_infor
các bài tập giãn cơ vai là gì,request,information
giãn cơ vai,inform,common_infor
các bài tập giãn cơ vai là gì,request,information
giãn cơ vai,request,common_infor
